X, Y, Z, Thresh, Prec, Max, Min, Total Steps 
-309, -170, 155, 134, 23, 320, -51, 0
-265, -153, 120, 134, 23, 320, -51, 0
-214, -131, 86, 134, 23, 320, -51, 0
-165, -105, 57, 134, 23, 320, -51, 0
-119, -77, 33, 134, 23, 320, -51, 0
-83, -49, 13, 134, 23, 320, -51, 0
-58, -26, -6, 134, 23, 320, -51, 0
-41, -10, -22, 134, 23, 320, -51, 0
-32, -2, -28, 134, 23, 320, -51, 0
-38, 4, -37, 134, 23, 320, -51, 0
-32, 4, -38, 134, 23, 320, -51, 0
-20, -1, -15, 134, 23, 320, -51, 0
-27, -1, -54, 95, 52, 511, -321, 8
-47, 7, -97, 95, 52, 511, -321, 8
-84, 15, -133, 95, 52, 511, -321, 8
-145, 16, -161, 95, 52, 511, -321, 8
-231, 6, -142, 95, 52, 511, -321, 8
-336, -20, 24, 95, 52, 511, -321, 8
-423, -60, 192, 95, 52, 511, -321, 8
-484, -63, 364, 95, 52, 511, -321, 8
-512, -35, 505, 95, 52, 511, -321, 8
-483, -1, 498, 95, 52, 511, -321, 8
-420, 27, 437, 95, 52, 511, -321, 8
-334, 21, 325, 95, 52, 511, -321, 8
-233, 6, 160, 95, 52, 511, -321, 8
-139, 4, -19, 95, 52, 511, -321, 8
-63, 23, -149, 95, 52, 511, -321, 8
1, 45, -206, 95, 52, 511, -321, 8
49, 54, -187, 95, 52, 511, -321, 8
73, 52, -107, 95, 52, 511, -321, 8
80, 33, -1, 95, 52, 511, -321, 8
76, 15, 98, 95, 52, 511, -321, 8
77, 8, 162, 95, 52, 511, -321, 8
82, 12, 183, 95, 52, 511, -321, 8
81, 24, 192, 95, 52, 511, -321, 8
74, 28, 207, 95, 52, 511, -321, 8
52, 18, 250, 95, 52, 511, -321, 8
6, 2, 319, 95, 52, 511, -321, 8
-52, -10, 395, 95, 52, 511, -321, 8
-145, -33, 451, 95, 52, 511, -321, 8
-273, -66, 488, 95, 52, 511, -321, 8
-379, -120, 511, 95, 52, 511, -321, 8
-466, -214, 511, 95, 52, 511, -321, 8
-485, -289, 470, 95, 52, 511, -321, 8
-405, -314, 371, 95, 52, 511, -321, 8
-301, -289, 247, 95, 52, 511, -321, 8
-171, -192, 135, 95, 52, 511, -321, 8
-57, -86, 58, 95, 52, 511, -321, 8
4, -26, 29, 95, 52, 511, -321, 8
41, 17, 19, 95, 52, 511, -321, 8
54, 32, -4, 95, 52, 511, -321, 8
55, 37, -23, 95, 52, 511, -321, 8
58, 43, -29, 95, 52, 511, -321, 8
67, 38, -33, 95, 52, 511, -321, 8
78, 24, -37, 95, 52, 511, -321, 8
90, 12, -46, 95, 52, 511, -321, 8
93, 12, -59, 95, 52, 511, -321, 8
71, 20, -84, 95, 52, 511, -321, 8
24, 27, -116, 95, 52, 511, -321, 8
-47, 36, -139, 95, 52, 511, -321, 8
-138, 32, -132, 95, 52, 511, -321, 8
-239, 17, -31, 95, 52, 511, -321, 8
-345, -23, 140, 95, 52, 511, -321, 8
-412, -94, 308, 95, 52, 511, -321, 8
-416, -121, 450, 95, 52, 511, -321, 8
-361, -85, 511, 95, 52, 511, -321, 8
-252, -10, 481, 95, 52, 511, -321, 8
-140, 84, 416, 95, 52, 511, -321, 8
-53, 121, 321, 95, 52, 511, -321, 8
8, 96, 209, 95, 52, 511, -321, 8
41, 60, 131, 95, 52, 511, -321, 8
46, 33, 102, 95, 52, 511, -321, 8
46, 24, 99, 95, 52, 511, -321, 8
51, 28, 95, 95, 52, 511, -321, 8
66, 32, 75, 95, 52, 511, -321, 8
93, 31, 44, 95, 52, 511, -321, 8
114, 31, 24, 95, 52, 511, -321, 8
