X,Y,Z
-278,-76,211
-396,-120,297
-499,-167,341
-512,-197,325
-512,-213,306
-512,-226,295
-512,-216,275
-478,-197,223
-371,-186,138
-269,-162,87
-200,-115,55
-147,-64,40
-102,-31,19
-64,-11,-15
-47,4,-74
-33,27,-140
-22,46,-169
-24,37,-175
-33,14,-167
-49,-8,-175
-71,-16,-200
-137,-1,-250
-246,-3,-250
-373,-39,-114
-512,-91,90
-512,-171,359
-510,-254,511
-441,-219,511
-350,-90,511
-251,26,447
-206,42,287
-99,26,237
-34,46,177
-23,53,111
1,30,76
44,6,36
81,-7,6
99,-13,-4
101,-20,-2
97,-33,16
93,-41,42
85,-35,71
79,-14,98
51,-39,168
47,-53,210
20,-71,222
27,-130,300
-66,-194,456
-309,-197,511
-508,-169,511
-512,-131,511
-496,-122,454
-351,-100,190
-234,-60,94
-169,-28,115
-122,-21,136
-87,-13,118
-57,5,84
-36,15,62
-27,25,33
-23,35,-21
-20,34,-75
-8,26,-129
2,16,-172
4,-1,-188
-2,-16,-183
-20,-20,-166
-79,10,-129
-179,23,-17
-271,-24,278
-367,-160,511
-437,-267,511
-387,-222,511
-251,-48,511
-141,108,390
-157,65,251
-29,49,260
25,72,204
52,91,116
85,63,67
138,-9,30
-87,-13,118
-57,5,84
-36,15,62
-27,25,33
-23,35,-21
-20,34,-75
-8,26,-129
2,16,-172
4,-1,-188
-2,-16,-183
-20,-20,-166
-79,10,-129
-179,23,-17
-271,-24,278
-367,-160,511
-437,-267,511
-387,-222,511
-251,-48,511
-141,108,390
-157,65,251
-29,49,260
25,72,204
52,91,116
85,63,67
138,-9,30
174,-56,34
174,-61,59
141,-52,86
112,-46,103
93,-45,132
98,-43,161
85,-38,184
25,-39,240
-45,-43,344
-123,-86,471
-226,-149,511
-362,-214,511
-469,-236,511
-416,-167,432
-282,-101,220
-189,-69,109
-130,-44,51
-93,-30,21
-64,-10,-3
-38,6,-38
-25,17,-51
-15,17,-57
-10,16,-68
-13,12,-78
-35,1,-85
-87,-13,118
-57,5,84
-36,15,62
-27,25,33
-23,35,-21
-20,34,-75
-8,26,-129
2,16,-172
4,-1,-188
-2,-16,-183
