X,Y,Z
124,49,212
82,89,282
39,71,268
20,53,324
32,28,456
-41,-15,511
-92,-38,511
-198,-45,511
-293,-43,511
-328,-48,511
-287,-51,304
-190,-62,161
-111,-67,92
-81,-81,51
-102,-94,37
-118,-85,50
-104,-108,73
-37,-150,-9
21,-179,-185
31,-92,-323
16,-10,-308
-51,4,-215
-117,0,-87
-135,-10,-2
-90,7,100
-95,65,174
-131,123,412
-179,182,511
-257,221,511
-254,172,511
-195,183,511
-119,199,434
-48,183,269
9,168,164
59,154,92
58,83,30
36,-8,20
58,-27,48
85,-9,74
83,19,82
75,19,83
74,15,130
104,45,168
61,-11,192
71,-45,209
24,-102,296
-18,-157,511
-97,-75,511
-133,-148,511
-202,-332,511
-307,-363,440
-274,-287,332
-212,-213,239
-154,-147,165
-143,-93,107
-130,-52,51
-117,-40,-2
-128,-51,-62
-128,-46,-107
-122,-32,-122
-113,-13,-126
-106,8,-143
-113,26,-180
-139,19,-174
-188,-13,-88
-202,-33,47
-237,-42,181
-265,-42,286
-203,-29,370
-188,24,463
-222,31,511
-207,-20,511
-111,-76,511
-42,-56,511
-13,18,417
-4,81,264
26,91,145
6,24,43
49,-32,5
116,-12,-6
122,-48,-54
158,-50,-83
180,-43,-71
172,-39,16
135,-49,151
69,-50,338
45,-24,480
26,-40,511
-56,-150,511
-167,-176,511
-245,-220,511
-278,-172,511
-230,-74,378
-138,-15,228
-66,-12,177
-32,-22,154
-30,-44,103
-58,-51,43
-93,-33,5
-114,-7,-37
-116,13,-65
-106,32,-90
-108,41,-115
-127,41,-132
-163,26,-118
-189,5,-71
-197,-10,13
-177,-17,129
-230,-24,284
-237,-42,511
-214,-60,511
-178,-143,511
-108,-175,511
-37,-133,485
35,-76,323
72,-23,232
76,-11,156
58,-39,95
54,-13,131
83,5,146
111,6,135
125,1,114
139,-15,106
156,-7,120
160,12,158
131,-6,195
121,-38,248
106,-68,348
114,-91,462
143,-91,495
87,-128,511
10,-104,511
-97,-149,511
-165,-187,511
-146,-183,394
-81,-141,187
-32,-84,54
-19,-49,-4
-56,-29,-6
-104,-23,0
-92,-31,-23
-79,-32,-98
-67,-8,-174
-72,44,-227
-73,77,-246
-90,63,-219
-135,21,-167
-185,-24,-54
-212,-33,144
-302,33,418
-431,31,511
-487,-49,511
-422,-111,511
-248,-99,511
-100,-26,392
51,64,95
137,129,-11
217,166,-89
194,43,-6
142,-62,116
114,-92,195
129,-80,242
128,-51,262
144,22,302
125,51,239
109,79,185
99,82,182
71,53,217
31,20,296
7,0,382
-13,-29,493
-87,-67,511
-300,20,511
-407,28,511
-385,30,511
-287,-76,434
-151,-212,219
-60,-253,66
-21,-172,-32
-1,-86,-73
-23,-35,-94
-44,-13,-90
-52,6,-88
-27,10,-95
-24,26,-131
-11,50,-155
-29,59,-171
-88,25,-138
-151,-24,-60
-195,-82,28
-242,-168,151
-319,-246,375
-350,-122,511
-305,61,511
-277,187,511
-202,240,511
-142,239,387
-94,266,209
-32,252,114
10,148,130
19,8,245
100,3,327
105,-61,261
133,-36,199
131,-33,139
94,24,171
76,95,246
117,84,274
80,14,306
60,13,369
51,7,379
110,-40,418
61,-110,511
-65,-164,511
-145,-255,511
-234,-317,511
-262,-232,401
-245,-136,240
-170,-119,96
-113,-144,19
-112,-145,-53
-124,-109,-98
-123,-54,-111
-112,1,-74
-95,33,-56
-71,37,-63
-63,26,-84
-64,15,-94
-82,-11,-89
-111,-54,-63
-139,-96,-14
-162,-92,8
-222,-43,27
-294,10,255
-308,84,422
-211,-17,511
-99,-83,511
-48,28,511
-14,74,511
-20,212,511
-24,113,303
-8,96,283
-25,114,251
60,96,264
118,22,222
107,27,176
92,64,149
73,82,115
76,74,84
64,31,121
35,6,197
-5,14,276
-48,51,351
-70,32,432
-96,0,511
-69,11,511
-106,-60,511
-158,-118,511
-167,-122,495
-190,-118,330
-185,-80,214
-163,-48,144
-148,-29,93
-130,-35,39
-111,-48,-21
-101,-60,-76
-91,-73,-128
-88,-83,-150
-73,-66,-152
-54,-14,-160
-73,38,-151
-112,13,-109
-165,-21,-32
-197,23,10
-204,79,1
-148,102,81
-176,70,295
-229,1,511
-207,-20,511
-93,-11,511
16,37,490
72,94,351
70,123,285
95,106,208
119,65,141
136,55,146
119,58,226
102,68,283
88,91,258
88,99,206
77,83,231
49,76,295
20,56,278
47,30,258
33,33,316
18,5,466
-55,-1,511
-115,-8,511
-185,8,511
-194,27,483
-174,14,409
-135,0,313
-108,-3,219
-86,9,153
-75,14,110
-72,8,75
-65,-22,42
-67,-59,-1
-75,-76,-46
-75,-70,-77
-77,-49,-118
-96,-29,-188
-128,8,-244
-150,26,-233
-169,30,-92
-194,50,35
-214,40,207
-186,-26,443
-210,-86,511
-221,-92,511
-169,-17,511
-101,56,511
-28,113,351
34,104,212
52,95,122
16,34,136
7,49,168
45,62,141
107,-4,109
119,-31,155
134,-9,189
164,48,252
140,12,342
138,13,355
96,9,347
53,-4,337
-24,-32,356
-67,-102,440
-165,-83,511
-269,-58,511
-308,-81,511
-298,-98,511
-234,-94,366
-156,-70,239
-100,-55,160
-74,-54,113
-70,-64,53
-72,-61,-7
-68,-48,-55
-63,-32,-84
-54,-19,-111
-48,-1,-141
-63,3,-149
-71,-1,-119
-98,-12,-78
-118,-15,-17
-123,17,64
-179,44,147
-206,40,322
-244,41,511
-295,56,511
-230,63,511
-67,53,511
30,-34,511
68,66,377
7,193,162
5,219,40
-22,152,-21
-31,81,-57
-18,65,-66
57,82,-18
46,13,-26
126,-17,-37
158,-52,52
170,-58,142
180,-3,139
193,9,207
206,-132,355
166,-260,511
5,-224,511
-150,-99,511
-234,-69,511
-287,-88,511
-277,-100,510
-218,-78,330
-170,-50,196
-119,-15,97
-94,-10,45
-87,-22,12
-88,-30,-15
-100,-32,-30
-106,-31,-35
-105,-28,-44
-92,-21,-57
-77,-8,-90
-62,8,-136
-66,29,-173
-92,49,-207
-107,54,-223
-93,51,-255
-141,61,-282
-177,66,-72
-351,58,511
-391,18,511
-256,21,511
-113,80,511
-48,127,451
-37,134,240
14,71,120
45,56,46
64,35,-39
91,15,-73
147,-3,-55
128,-73,-45
124,-54,9
101,-15,106
100,8,166
84,13,219
61,2,329
47,-14,437
76,-43,442
141,-122,461
164,-222,511
14,-303,511
-278,-332,511
-406,-272,511
-412,-212,511
-392,-134,261
-317,-26,110
-223,22,75
-156,-16,38
-124,-71,12
-102,-98,-17
-101,-73,-40
-99,-20,-56
-99,19,-70
-110,32,-86
-125,22,-93
-135,-3,-101
-160,-31,-73
-168,8,-5
-215,76,51
-180,77,158
-220,37,368
-288,41,511
-260,79,511
-147,114,511
-48,126,353
11,122,254
63,91,190
77,46,119
53,26,89
27,45,161
81,61,233
17,5,186
69,34,153
55,57,153
91,48,164
129,17,212
142,-16,273
131,-24,309
114,-4,313
90,27,348
58,16,453
-50,32,511
-166,34,511
-296,-14,511
-341,-19,511
-272,-16,328
