X,Y,Z
-26,-73,-23
-38,-44,-48
-48,-7,-70
-54,29,-95
-48,62,-123
-46,73,-150
-34,71,-166
-35,36,-142
-51,2,-106
-72,23,-78
-217,-27,6
-391,-184,313
-512,-402,511
-512,-512,511
-501,-512,511
-193,-115,495
-466,-357,511
-512,-512,511
-419,-512,511
-330,-307,375
-231,-213,178
-155,-146,114
-147,-106,74
-81,-71,35
-40,-77,4
-26,-73,-23
-38,-44,-48
-48,-7,-70
-54,29,-95
-48,62,-123
-46,73,-150
-34,71,-166
-35,36,-142
-51,2,-106
-72,23,-78
-217,-27,6
-391,-184,313
-512,-402,511
-512,-512,511
-501,-512,511
-349,-397,511
-243,-101,270
-129,98,138
-103,23,105
57,23,124
95,56,164
48,49,168
79,55,172
87,-36,148
133,-56,117
162,-42,87
174,-39,69
172,-40,68
143,-44,85
93,-69,124
65,-119,187
24,-194,314
-25,-236,464
-45,-267,511
-184,-314,511
-289,-378,511
-324,-342,450
-265,-257,256
-154,-165,110
-94,-68,13
-193,-115,495
-466,-357,511
-512,-512,511
-419,-512,511
-330,-307,375
-231,-213,178
-155,-146,114
-147,-106,74
-81,-71,35
-40,-77,4
-26,-73,-23
-38,-44,-48
-48,-7,-70
-54,29,-95
-48,62,-123
-46,73,-150
-34,71,-166
-35,36,-142
-51,2,-106
-72,23,-78
-217,-27,6
-391,-184,313
-512,-402,511
-512,-512,511
-501,-512,511
-349,-397,511
-243,-101,270
-129,98,138
-103,23,105
57,23,124
95,56,164
48,49,168
79,55,172
87,-36,148
133,-56,117
162,-42,87
174,-39,69
172,-40,68
143,-44,85
93,-69,124
65,-119,187
24,-194,314
-25,-236,464
-45,-267,511
-184,-314,511
-289,-378,511
-324,-342,450
-265,-257,256
-154,-165,110
-94,-68,13
-64,7,-22
-26,30,-22
-21,3,-38
-34,-34,-18
-58,-66,13
-79,-72,32
-73,-26,19
-55,19,-11
-25,42,-57
-3,12,-85
11,-41,-66
42,-53,-34
88,8,-19
34,-29,-39
-168,-199,118
-512,-381,511
-512,-363,511
-512,-504,511
-287,-290,511
-223,-98,275
-95,-14,204
-53,-7,192
20,49,152
34,40,113
12,-2,64
-193,-115,495
-466,-357,511
-512,-512,511
-419,-512,511
-330,-307,375
-231,-213,178
-155,-146,114
-147,-106,74
-81,-71,35
-40,-77,4
-26,-73,-23
-38,-44,-48
-48,-7,-70
-54,29,-95
-48,62,-123
-46,73,-150
-34,71,-166
-35,36,-142
-51,2,-106
-72,23,-78
-217,-27,6
-391,-184,313
-512,-402,511
-512,-512,511
-501,-512,511
-349,-397,511
-243,-101,270
-129,98,138
-103,23,105
57,23,124
95,56,164
48,49,168
79,55,172
87,-36,148
133,-56,117
162,-42,87
174,-39,69
172,-40,68
143,-44,85
93,-69,124
65,-119,187
24,-194,314
-25,-236,464
-45,-267,511
-184,-314,511
-289,-378,511
-324,-342,450
-265,-257,256
-154,-165,110
-94,-68,13
-64,7,-22
-26,30,-22
-21,3,-38
-34,-34,-18
-58,-66,13
-79,-72,32
-73,-26,19
-55,19,-11
-25,42,-57
-3,12,-85
11,-41,-66
42,-53,-34
88,8,-19
34,-29,-39
-168,-199,118
-512,-381,511
-512,-363,511
-512,-504,511
-287,-290,511
-223,-98,275
-95,-14,204
-53,-7,192
20,49,152
34,40,113
12,-2,64
46,0,66
99,17,71
124,25,53
155,30,22
169,42,-6
161,30,-8
115,-1,18
47,-57,141
-18,-93,346
-154,-152,511
-189,-246,511
-284,-318,511
-396,-381,511
-451,-418,511
-356,-328,452
-258,-239,319
-212,-196,231
-157,-146,161
-129,-93,91
-87,-60,31
-63,-33,-37
-27,-33,-81
-14,-48,-114
-31,-60,-148
-31,-34,-180
-36,4,-222
-33,15,-260
-16,-14,-258
-17,-43,-210
-27,-20,-132
-110,19,-57
-263,-23,172
-480,-77,490
-512,-246,511
-512,-375,511
-473,-256,511
-323,-86,478
-170,-5,313
-127,1,219
-68,27,177
6,48,154
20,19,120
20,-20,102
55,-27,92
94,-20,83
112,-17,60
128,14,33
165,32,26
159,11,48
97,-27,115
-36,4,-222
-33,15,-260
-16,-14,-258
-17,-43,-210
-27,-20,-132
-110,19,-57
-263,-23,172
-480,-77,490
-512,-246,511
-512,-375,511
-473,-256,511
-323,-86,478
-170,-5,313
-127,1,219
-68,27,177
6,48,154
20,19,120
20,-20,102
55,-27,92
94,-20,83
112,-17,60
128,14,33
165,32,26
159,11,48
97,-27,115
21,-62,267
20,-59,433
-26,-114,511
-193,-278,511
-363,-461,511
-388,-512,511
-343,-463,511
