X,Y,Z
102,12,1
95,10,-13
84,8,-19
65,4,-20
45,-8,-19
25,-14,-13
4,-11,-11
-8,-3,-13
-20,0,-20
-33,-4,-21
-20,-13,-23
-13,-17,-17
-25,-7,-11
-35,0,-9
-27,1,-4
-22,1,-4
-11,1,-6
-31,1,-19
-51,4,-30
-61,2,-27
-61,2,-12
-41,1,-6
-5,8,13
-9,18,30
44,23,31
70,26,47
93,31,70
113,37,90
122,43,90
125,51,78
117,60,73
97,65,66
68,67,60
49,64,57
29,60,56
7,57,57
-12,52,57
-35,47,58
-53,41,61
-56,31,64
-46,22,70
-60,15,64
-93,16,53
-102,18,48
-93,20,52
-81,20,59
-89,16,62
-103,9,54
-99,-3,45
-75,-15,38
-48,-25,29
-22,-30,22
4,-24,24
31,-10,28
67,-3,27
93,2,26
97,11,20
83,18,15
50,14,12
39,5,11
41,-2,13
53,-2,25
49,0,41
30,3,60
3,3,77
-34,-2,82
-57,-9,84
-67,-8,70
-66,-3,43
-45,-4,18
-20,-6,4
-38,1,-15
-35,19,-23
-9,35,-28
30,32,-27
46,24,-39
28,16,-55
-7,16,-64
-33,19,-52
-33,25,-27
-15,25,-11
-1,28,-1
11,37,17
25,49,39
46,54,50
75,58,59
96,66,70
110,74,76
116,70,72
108,59,67
90,40,71
56,29,74
38,45,74
-13,33,82
37,81,71
-33,62,83
-44,7,100
-63,-1,125
-49,19,124
-73,44,89
-100,59,57
-110,54,43
-97,32,46
-84,8,50
-66,-12,55
-55,-19,64
-43,-13,73
-36,-2,75
-34,4,77
-21,6,78
-2,5,74
27,1,71
50,0,67
73,0,60
89,2,54
101,5,44
110,4,29
108,-10,12
101,-44,0
84,-66,7
56,-59,39
28,-19,86
18,5,116
1,16,128
-24,9,123
-57,1,93
-75,-3,65
-72,2,45
-64,18,38
-58,33,24
-30,37,4
-4,26,-9
29,6,-16
46,2,-9
34,23,14
15,49,24
-16,55,12
-43,45,0
-38,34,5
-36,28,25
-25,18,36
-2,7,11
20,-3,-18
39,-14,-12
54,-11,24
68,-11,56
79,-9,70
84,5,63
76,21,50
72,31,53
68,30,61
60,27,70
56,26,77
48,26,77
12,28,71
-21,19,68
-36,11,66
-42,10,65
-23,20,66
-24,33,63
-67,37,61
-80,35,65
-74,31,74
-63,30,77
-60,33,83
-71,35,85
-77,31,80
-77,21,83
-70,6,82
-44,-8,72
-20,-21,59
1,-25,44
22,-19,35
39,-8,34
54,2,36
75,3,31
95,3,22
96,22,20
83,38,26
65,40,20
54,35,12
36,27,14
15,19,25
-4,7,35
-25,-4,36
-36,-17,29
-49,-23,21
-48,-25,21
-42,-27,26
-52,-26,17
-52,-27,9
-48,-34,3
-29,-51,8
-11,-71,11
-1,-72,9
-16,-34,2
-34,23,-17
-34,71,-47
-14,98,-49
18,97,-27
45,73,-3
60,51,16
76,42,35
90,39,41
98,34,40
102,28,44
101,23,48
93,17,51
79,20,56
63,29,58
50,43,63
35,55,64
11,58,63
-10,57,64
-27,52,60
-49,42,60
-69,29,66
-72,11,78
-54,-1,80
-79,-11,66
-79,-9,59
-76,6,64
-71,22,70
-63,28,76
-61,20,77
-79,-1,60
-59,-18,32
-49,-19,34
-45,-20,30
-27,-30,25
-3,-44,30
10,-46,42
18,-35,55
28,-14,63
41,0,66
58,7,68
73,9,71
85,13,68
87,17,64
81,19,49
69,14,37
43,-7,40
28,-27,59
-2,-47,73
-49,-69,87
-75,-80,101
-80,-72,92
-80,-49,67
-68,-20,25
-38,-11,-2
-14,-16,-14
-15,-16,-31
4,-17,-28
24,-9,-23
44,4,-25
51,24,-38
44,36,-53
18,34,-64
-1,23,-65
-9,10,-58
-2,11,-51
19,13,-38
38,17,-18
51,25,0
58,37,17
59,49,34
71,58,52
69,61,63
70,57,69
56,51,75
44,42,82
34,32,86
28,24,83
22,23,82
15,24,75
2,25,71
